file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source
E:\Research paper\output\chatgpt_policy_drafts\AIr status quo iteration 2 GPT.txt,AIr status quo iteration 2 GPT.txt,ChatGPT,Air Pollution,Status Quo,2.0,Primary,False,1122,7.68,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air Innovation iteration 1 GPT.txt,Air Innovation iteration 1 GPT.txt,ChatGPT,Air Pollution,Innovation,1.0,Primary,False,1020,7.18,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 10 GPT.txt,Air innovation iteration 10 GPT.txt,ChatGPT,Air Pollution,Innovation,10.0,Primary,False,882,6.2,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 2 GPT.txt,Air innovation iteration 2 GPT.txt,ChatGPT,Air Pollution,Innovation,2.0,Primary,False,1003,7.29,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 3 GPT.txt,Air innovation iteration 3 GPT.txt,ChatGPT,Air Pollution,Innovation,3.0,Primary,False,1031,7.5,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 4 GPT.txt,Air innovation iteration 4 GPT.txt,ChatGPT,Air Pollution,Innovation,4.0,Primary,False,934,6.46,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 5 GPT.txt,Air innovation iteration 5 GPT.txt,ChatGPT,Air Pollution,Innovation,5.0,Primary,False,1137,8.03,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 6 GPT.txt,Air innovation iteration 6 GPT.txt,ChatGPT,Air Pollution,Innovation,6.0,Primary,False,975,7.02,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 7 GPT.txt,Air innovation iteration 7 GPT.txt,ChatGPT,Air Pollution,Innovation,7.0,Primary,False,985,7.02,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 8 GPT.txt,Air innovation iteration 8 GPT.txt,ChatGPT,Air Pollution,Innovation,8.0,Primary,False,1106,8.27,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 9 GPT.txt,Air innovation iteration 9 GPT.txt,ChatGPT,Air Pollution,Innovation,9.0,Primary,False,992,6.98,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 1 GPT.txt,Air status quo iteration 1 GPT.txt,ChatGPT,Air Pollution,Status Quo,1.0,Primary,False,1032,6.92,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 10 GPT.txt,Air status quo iteration 10 GPT.txt,ChatGPT,Air Pollution,Status Quo,10.0,Primary,False,1005,6.65,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 3 GPT.txt,Air status quo iteration 3 GPT.txt,ChatGPT,Air Pollution,Status Quo,3.0,Primary,False,1117,7.49,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 4 GPT.txt,Air status quo iteration 4 GPT.txt,ChatGPT,Air Pollution,Status Quo,4.0,Primary,False,1054,7.37,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 5 GPT.txt,Air status quo iteration 5 GPT.txt,ChatGPT,Air Pollution,Status Quo,5.0,Primary,False,988,6.46,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 6 GPT.txt,Air status quo iteration 6 GPT.txt,ChatGPT,Air Pollution,Status Quo,6.0,Primary,False,1179,7.5,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 7 GPT.txt,Air status quo iteration 7 GPT.txt,ChatGPT,Air Pollution,Status Quo,7.0,Primary,False,1032,7.28,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 8 GPT.txt,Air status quo iteration 8 GPT.txt,ChatGPT,Air Pollution,Status Quo,8.0,Primary,False,976,6.69,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 9 GPT.txt,Air status quo iteration 9 GPT.txt,ChatGPT,Air Pollution,Status Quo,9.0,Primary,False,1037,6.93,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 10 GPT.txt,Air unconstrained iteration 10 GPT.txt,ChatGPT,Air Pollution,Unconstrained,10.0,Primary,False,1005,6.82,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 2 GPT.txt,Air unconstrained iteration 2 GPT.txt,ChatGPT,Air Pollution,Unconstrained,2.0,Primary,False,1175,8.14,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 3 GPT.txt,Air unconstrained iteration 3 GPT.txt,ChatGPT,Air Pollution,Unconstrained,3.0,Primary,False,1256,8.41,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 4 GPT.txt,Air unconstrained iteration 4 GPT.txt,ChatGPT,Air Pollution,Unconstrained,4.0,Primary,False,1028,7.24,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 5 GPT.txt,Air unconstrained iteration 5 GPT.txt,ChatGPT,Air Pollution,Unconstrained,5.0,Primary,False,957,6.58,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 6 GPT.txt,Air unconstrained iteration 6 GPT.txt,ChatGPT,Air Pollution,Unconstrained,6.0,Primary,False,1039,7.13,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 7 GPT.txt,Air unconstrained iteration 7 GPT.txt,ChatGPT,Air Pollution,Unconstrained,7.0,Primary,False,1074,7.26,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 8 GPT.txt,Air unconstrained iteration 8 GPT.txt,ChatGPT,Air Pollution,Unconstrained,8.0,Primary,False,892,6.13,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 9 GPT.txt,Air unconstrained iteration 9 GPT.txt,ChatGPT,Air Pollution,Unconstrained,9.0,Primary,False,1020,7.02,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstratined iteration 1 GPT.txt,Air unconstratined iteration 1 GPT.txt,ChatGPT,Air Pollution,Unconstrained,1.0,Primary,False,1035,7.05,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovatino iteration 5 GPT.txt,DPDP innovatino iteration 5 GPT.txt,ChatGPT,Data Protection,Innovation,5.0,Primary,False,1042,7.27,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 1 GPT.txt,DPDP innovation iteration 1 GPT.txt,ChatGPT,Data Protection,Innovation,1.0,Primary,False,1205,8.65,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 10 GPT.txt,DPDP innovation iteration 10 GPT.txt,ChatGPT,Data Protection,Innovation,10.0,Primary,False,1109,7.62,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 2 GPT.txt,DPDP innovation iteration 2 GPT.txt,ChatGPT,Data Protection,Innovation,2.0,Primary,False,1074,7.68,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 3 GPT.txt,DPDP innovation iteration 3 GPT.txt,ChatGPT,Data Protection,Innovation,3.0,Primary,False,952,6.82,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 4 GPT.txt,DPDP innovation iteration 4 GPT.txt,ChatGPT,Data Protection,Innovation,4.0,Primary,False,1040,7.71,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 6 GPT.txt,DPDP innovation iteration 6 GPT.txt,ChatGPT,Data Protection,Innovation,6.0,Primary,False,1081,7.69,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 7 GPT.txt,DPDP innovation iteration 7 GPT.txt,ChatGPT,Data Protection,Innovation,7.0,Primary,False,1042,7.6,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 8 GPT.txt,DPDP innovation iteration 8 GPT.txt,ChatGPT,Data Protection,Innovation,8.0,Primary,False,1103,7.59,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 9 GPT.txt,DPDP innovation iteration 9 GPT.txt,ChatGPT,Data Protection,Innovation,9.0,Primary,False,1087,7.92,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 1 GPT.txt,DPDP status quo iteration 1 GPT.txt,ChatGPT,Data Protection,Status Quo,1.0,Primary,False,1296,8.49,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 10 GPT.txt,DPDP status quo iteration 10 GPT.txt,ChatGPT,Data Protection,Status Quo,10.0,Primary,False,1063,7.1,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 2 GPT.txt,DPDP status quo iteration 2 GPT.txt,ChatGPT,Data Protection,Status Quo,2.0,Primary,False,1352,8.91,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 3 GPT.txt,DPDP status quo iteration 3 GPT.txt,ChatGPT,Data Protection,Status Quo,3.0,Primary,False,989,6.75,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 4 GPT.txt,DPDP status quo iteration 4 GPT.txt,ChatGPT,Data Protection,Status Quo,4.0,Primary,False,1107,7.47,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 5 GPT.txt,DPDP status quo iteration 5 GPT.txt,ChatGPT,Data Protection,Status Quo,5.0,Primary,False,1016,6.84,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 6 GPT.txt,DPDP status quo iteration 6 GPT.txt,ChatGPT,Data Protection,Status Quo,6.0,Primary,False,1194,7.79,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 7 GPT.txt,DPDP status quo iteration 7 GPT.txt,ChatGPT,Data Protection,Status Quo,7.0,Primary,False,1384,8.95,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 8 GPT.txt,DPDP status quo iteration 8 GPT.txt,ChatGPT,Data Protection,Status Quo,8.0,Primary,False,1188,7.87,none,ai_draft
